acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z
-9.0,-264.0,30.0,16.0,61.0,-5.0,2.0,-1051.0,84.0
-9.0,-266.0,28.0,19.0,62.0,-4.0,1.0,-1056.0,75.0
-6.0,-269.0,23.0,22.0,63.0,-3.0,1.0,-1046.0,82.0
-9.0,-265.0,24.0,22.0,62.0,-2.0,-8.0,-1043.0,77.0
-11.0,-266.0,29.0,24.0,62.0,-2.0,-9.0,-1050.0,73.0
-10.0,-271.0,24.0,22.0,60.0,-1.0,-7.0,-1050.0,70.0
-10.0,-264.0,21.0,19.0,62.0,-1.0,-12.0,-1042.0,68.0
-14.0,-262.0,25.0,14.0,62.0,0.0,-17.0,-1054.0,64.0
-12.0,-267.0,19.0,5.0,62.0,1.0,-21.0,-1049.0,62.0
-11.0,-259.0,17.0,-6.0,61.0,1.0,-21.0,-1042.0,55.0
-11.0,-262.0,20.0,-19.0,60.0,4.0,-20.0,-1037.0,55.0
-10.0,-259.0,19.0,-27.0,57.0,3.0,-16.0,-1029.0,57.0
-9.0,-257.0,19.0,-28.0,60.0,-1.0,-12.0,-1023.0,65.0
-9.0,-260.0,20.0,-28.0,63.0,-3.0,-14.0,-1020.0,57.0
-11.0,-259.0,18.0,-38.0,61.0,-3.0,-12.0,-1026.0,58.0
-6.0,-261.0,21.0,-56.0,54.0,-2.0,-6.0,-1030.0,69.0
-2.0,-261.0,33.0,-65.0,57.0,-2.0,6.0,-1036.0,86.0
-2.0,-263.0,27.0,-64.0,63.0,-4.0,21.0,-1041.0,82.0
0.0,-266.0,27.0,-72.0,57.0,-2.0,24.0,-1055.0,70.0
1.0,-267.0,23.0,-86.0,53.0,1.0,27.0,-1056.0,70.0
0.0,-267.0,23.0,-94.0,51.0,2.0,21.0,-1063.0,66.0
-3.0,-269.0,20.0,-100.0,47.0,5.0,14.0,-1071.0,61.0
-2.0,-267.0,21.0,-109.0,43.0,6.0,19.0,-1071.0,56.0
-4.0,-272.0,24.0,-121.0,36.0,10.0,15.0,-1077.0,52.0
0.0,-273.0,19.0,-132.0,32.0,13.0,25.0,-1077.0,48.0
3.0,-271.0,23.0,-143.0,31.0,13.0,33.0,-1078.0,55.0
2.0,-272.0,22.0,-147.0,38.0,10.0,40.0,-1068.0,70.0
5.0,-269.0,21.0,-142.0,47.0,4.0,47.0,-1065.0,69.0
5.0,-264.0,21.0,-142.0,49.0,-4.0,51.0,-1055.0,58.0
4.0,-264.0,21.0,-154.0,47.0,-8.0,49.0,-1039.0,56.0
6.0,-265.0,26.0,-161.0,55.0,-8.0,39.0,-1035.0,71.0
6.0,-262.0,27.0,-157.0,68.0,-12.0,51.0,-1028.0,89.0
8.0,-258.0,30.0,-143.0,86.0,-15.0,54.0,-1022.0,98.0
