acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z
-9.0,-266.0,20.0,-16.0,71.0,-2.0,-7.0,-1044.0,44.0
-7.0,-266.0,18.0,-17.0,70.0,-3.0,-9.0,-1044.0,39.0
-7.0,-265.0,15.0,-19.0,71.0,-3.0,-12.0,-1037.0,37.0
-8.0,-265.0,16.0,-17.0,70.0,-2.0,-6.0,-1036.0,35.0
-8.0,-265.0,18.0,-18.0,70.0,-3.0,-12.0,-1044.0,41.0
-10.0,-263.0,20.0,-16.0,69.0,-3.0,-8.0,-1046.0,40.0
-10.0,-263.0,16.0,-16.0,70.0,-4.0,-11.0,-1045.0,42.0
-11.0,-264.0,19.0,-14.0,69.0,-3.0,-8.0,-1051.0,42.0
-8.0,-265.0,19.0,-14.0,69.0,-4.0,-11.0,-1040.0,42.0
-10.0,-261.0,15.0,-13.0,68.0,-5.0,-12.0,-1043.0,44.0
-10.0,-264.0,22.0,-12.0,66.0,-3.0,-13.0,-1052.0,44.0
-8.0,-262.0,16.0,-11.0,68.0,-4.0,-8.0,-1040.0,44.0
-13.0,-262.0,19.0,-11.0,68.0,-4.0,-9.0,-1043.0,44.0
-8.0,-263.0,18.0,-11.0,69.0,-4.0,-13.0,-1037.0,42.0
-8.0,-264.0,16.0,-12.0,69.0,-4.0,-9.0,-1037.0,45.0
-9.0,-264.0,17.0,-11.0,67.0,-2.0,-3.0,-1040.0,41.0
-9.0,-261.0,20.0,-10.0,66.0,-4.0,-9.0,-1051.0,45.0
-8.0,-264.0,15.0,-10.0,67.0,-4.0,-11.0,-1043.0,43.0
-8.0,-266.0,18.0,-10.0,67.0,-3.0,-4.0,-1046.0,42.0
-4.0,-267.0,18.0,-10.0,64.0,-2.0,-2.0,-1034.0,43.0
-5.0,-267.0,17.0,-11.0,63.0,-2.0,-7.0,-1034.0,48.0
-9.0,-263.0,17.0,-12.0,65.0,-3.0,-6.0,-1038.0,45.0
-11.0,-260.0,14.0,-12.0,64.0,-3.0,-3.0,-1045.0,43.0
-16.0,-264.0,34.0,-12.0,63.0,-2.0,-3.0,-1045.0,44.0
-6.0,-266.0,22.0,-12.0,63.0,-1.0,-7.0,-1035.0,46.0
-5.0,-272.0,28.0,-13.0,62.0,0.0,-4.0,-1043.0,47.0
-2.0,-258.0,19.0,-12.0,62.0,-3.0,-5.0,-1039.0,38.0
-17.0,-259.0,18.0,-11.0,62.0,-2.0,-7.0,-1047.0,40.0
-4.0,-264.0,16.0,-12.0,63.0,-1.0,-2.0,-1040.0,44.0
-8.0,-268.0,27.0,-11.0,63.0,-2.0,-6.0,-1039.0,41.0
-10.0,-270.0,18.0,-10.0,63.0,-3.0,-9.0,-1035.0,40.0
-14.0,-259.0,26.0,-11.0,63.0,-3.0,-8.0,-1049.0,46.0
-4.0,-265.0,14.0,-10.0,62.0,-2.0,-7.0,-1041.0,46.0
-5.0,-265.0,11.0,-11.0,62.0,-1.0,-7.0,-1043.0,40.0
-4.0,-259.0,27.0,-10.0,63.0,-1.0,-14.0,-1040.0,44.0
-6.0,-262.0,26.0,-11.0,62.0,-1.0,-4.0,-1036.0,47.0
-5.0,-267.0,17.0,-11.0,63.0,-2.0,-7.0,-1046.0,42.0
-5.0,-261.0,18.0,-11.0,62.0,-3.0,-7.0,-1049.0,43.0
-8.0,-271.0,16.0,-10.0,62.0,-4.0,0.0,-1051.0,43.0
-26.0,-273.0,43.0,-10.0,63.0,-5.0,-4.0,-1046.0,43.0
-12.0,-264.0,17.0,-8.0,63.0,-4.0,-8.0,-1058.0,46.0
-6.0,-262.0,17.0,-6.0,63.0,-3.0,-7.0,-1050.0,43.0
-8.0,-262.0,15.0,-5.0,62.0,-3.0,-7.0,-1050.0,47.0
-7.0,-263.0,17.0,-6.0,63.0,-3.0,-7.0,-1055.0,45.0
-6.0,-264.0,19.0,-4.0,61.0,-4.0,-9.0,-1048.0,44.0
-6.0,-260.0,19.0,-3.0,62.0,-5.0,-9.0,-1044.0,43.0
-8.0,-265.0,20.0,-5.0,62.0,-3.0,-5.0,-1039.0,40.0
-6.0,-267.0,20.0,-8.0,63.0,-3.0,-6.0,-1038.0,43.0
