acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z
23.0,-257.0,-31.0,-27.0,0.0,4.0,94.0,-999.0,24.0
24.0,-260.0,-30.0,-21.0,0.0,2.0,99.0,-999.0,19.0
24.0,-258.0,-31.0,-16.0,-2.0,-1.0,96.0,-989.0,20.0
24.0,-251.0,-28.0,-12.0,-2.0,-4.0,93.0,-982.0,12.0
19.0,-260.0,-48.0,-10.0,-2.0,-4.0,88.0,-975.0,16.0
25.0,-249.0,-27.0,-7.0,-1.0,-5.0,85.0,-965.0,15.0
22.0,-249.0,-28.0,-5.0,1.0,-6.0,83.0,-967.0,19.0
21.0,-250.0,-33.0,0.0,4.0,-5.0,83.0,-963.0,14.0
22.0,-249.0,-32.0,4.0,4.0,-5.0,89.0,-958.0,20.0
21.0,-245.0,-31.0,7.0,3.0,-4.0,80.0,-957.0,20.0
22.0,-247.0,-27.0,10.0,0.0,-2.0,89.0,-955.0,22.0
18.0,-244.0,-30.0,4.0,-6.0,2.0,78.0,-952.0,21.0
18.0,-246.0,-32.0,-2.0,-10.0,3.0,75.0,-956.0,26.0
19.0,-244.0,-33.0,-8.0,-14.0,6.0,77.0,-947.0,28.0
23.0,-235.0,-17.0,-14.0,-20.0,7.0,78.0,-952.0,25.0
20.0,-245.0,-28.0,-18.0,-24.0,9.0,85.0,-945.0,21.0
18.0,-246.0,-28.0,-18.0,-28.0,11.0,78.0,-947.0,24.0
18.0,-246.0,-32.0,-18.0,-32.0,13.0,84.0,-950.0,31.0
23.0,-247.0,-25.0,-19.0,-35.0,16.0,89.0,-950.0,41.0
22.0,-247.0,-24.0,-19.0,-36.0,19.0,86.0,-948.0,47.0
22.0,-245.0,-21.0,-17.0,-36.0,20.0,90.0,-950.0,49.0
20.0,-246.0,-20.0,-17.0,-38.0,21.0,81.0,-950.0,49.0
22.0,-246.0,-21.0,-17.0,-35.0,23.0,87.0,-951.0,46.0
20.0,-245.0,-21.0,-18.0,-27.0,28.0,83.0,-948.0,44.0
21.0,-242.0,-21.0,-26.0,-19.0,35.0,83.0,-940.0,48.0
21.0,-237.0,-17.0,-35.0,-8.0,39.0,79.0,-937.0,41.0
16.0,-238.0,-26.0,-47.0,3.0,45.0,77.0,-931.0,36.0
22.0,-237.0,-24.0,-61.0,12.0,49.0,80.0,-921.0,36.0
21.0,-233.0,-28.0,-74.0,22.0,53.0,86.0,-915.0,42.0
23.0,-234.0,-22.0,-84.0,25.0,57.0,88.0,-919.0,45.0
23.0,-236.0,-22.0,-94.0,26.0,59.0,91.0,-907.0,41.0
24.0,-233.0,-22.0,-100.0,23.0,62.0,93.0,-911.0,44.0
26.0,-233.0,-22.0,-108.0,19.0,66.0,101.0,-907.0,38.0
29.0,-236.0,-29.0,-117.0,14.0,68.0,108.0,-913.0,43.0
31.0,-242.0,-23.0,-128.0,11.0,72.0,112.0,-922.0,42.0
31.0,-242.0,-24.0,-143.0,9.0,74.0,112.0,-938.0,42.0
30.0,-242.0,-17.0,-160.0,6.0,78.0,111.0,-958.0,28.0
27.0,-248.0,-30.0,-186.0,9.0,81.0,110.0,-975.0,30.0
27.0,-251.0,-28.0,-215.0,12.0,83.0,106.0,-975.0,21.0
24.0,-253.0,-30.0,-240.0,19.0,87.0,98.0,-985.0,11.0
25.0,-259.0,-26.0,-261.0,28.0,89.0,94.0,-995.0,6.0
22.0,-260.0,-31.0,-285.0,37.0,87.0,84.0,-1015.0,5.0
20.0,-264.0,-30.0,-312.0,46.0,80.0,76.0,-1026.0,13.0
12.0,-269.0,-29.0,-331.0,49.0,74.0,58.0,-1047.0,18.0
8.0,-275.0,-33.0,-343.0,48.0,70.0,40.0,-1063.0,11.0
-1.0,-273.0,-35.0,-350.0,42.0,66.0,11.0,-1063.0,-1.0
-7.0,-273.0,-40.0,-349.0,30.0,63.0,-12.0,-1058.0,-8.0
-9.0,-267.0,-29.0,-340.0,11.0,63.0,-35.0,-1046.0,-30.0
-13.0,-266.0,-49.0,-324.0,-12.0,63.0,-51.0,-1031.0,-46.0
-15.0,-259.0,-50.0,-305.0,-42.0,64.0,-62.0,-1003.0,-58.0
-20.0,-250.0,-54.0,-289.0,-72.0,57.0,-71.0,-978.0,-67.0
-18.0,-243.0,-54.0,-275.0,-101.0,55.0,-74.0,-946.0,-79.0
-23.0,-238.0,-52.0,-270.0,-129.0,51.0,-82.0,-924.0,-77.0
-27.0,-231.0,-49.0,-262.0,-154.0,45.0,-99.0,-903.0,-66.0
-26.0,-227.0,-47.0,-260.0,-184.0,44.0,-92.0,-892.0,-59.0
-23.0,-226.0,-38.0,-264.0,-208.0,38.0,-86.0,-871.0,-43.0
-19.0,-224.0,-37.0,-273.0,-231.0,28.0,-76.0,-875.0,-6.0
-14.0,-228.0,-27.0,-282.0,-249.0,18.0,-60.0,-880.0,15.0
-12.0,-219.0,-18.0,-290.0,-264.0,11.0,-37.0,-894.0,38.0
-8.0,-238.0,-12.0,-295.0,-274.0,2.0,-26.0,-910.0,71.0
-5.0,-243.0,-8.0,-294.0,-280.0,-7.0,-15.0,-933.0,98.0
-6.0,-252.0,0.0,-288.0,-278.0,-18.0,-16.0,-978.0,126.0
-7.0,-260.0,2.0,-274.0,-271.0,-22.0,-19.0,-1002.0,149.0
-10.0,-268.0,6.0,-261.0,-259.0,-28.0,-34.0,-1037.0,156.0
-10.0,-272.0,8.0,-252.0,-247.0,-30.0,-34.0,-1068.0,148.0
-37.0,-276.0,-4.0,-245.0,-236.0,-27.0,-119.0,-1075.0,117.0
-9.0,-282.0,-5.0,-247.0,-246.0,-12.0,-45.0,-1091.0,113.0
-9.0,-282.0,-5.0,-239.0,-229.0,-22.0,-38.0,-1093.0,105.0
-4.0,-278.0,-7.0,-231.0,-208.0,-29.0,-12.0,-1084.0,97.0
0.0,-275.0,-5.0,-231.0,-198.0,-44.0,1.0,-1069.0,93.0
6.0,-272.0,-5.0,-225.0,-185.0,-60.0,21.0,-1057.0,101.0
9.0,-268.0,-10.0,-214.0,-170.0,-75.0,39.0,-1055.0,104.0
