acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z
-31.0,-294.0,69.0,52.0,-1050.0,19.0,-139.0,-1126.0,358.0
-28.0,-305.0,69.0,45.0,-1105.0,51.0,-125.0,-1176.0,371.0
-26.0,-319.0,73.0,35.0,-1166.0,67.0,-117.0,-1218.0,377.0
-24.0,-324.0,70.0,15.0,-1222.0,81.0,-105.0,-1233.0,388.0
-13.0,-325.0,70.0,2.0,-1276.0,95.0,-86.0,-1238.0,377.0
11.0,-333.0,62.0,-6.0,-1311.0,116.0,-14.0,-1234.0,348.0
20.0,-322.0,59.0,-25.0,-1330.0,124.0,83.0,-1227.0,306.0
49.0,-310.0,46.0,-68.0,-1322.0,116.0,157.0,-1215.0,277.0
68.0,-327.0,51.0,-116.0,-1291.0,112.0,232.0,-1212.0,300.0
84.0,-316.0,65.0,-135.0,-1249.0,110.0,310.0,-1236.0,347.0
113.0,-325.0,74.0,-122.0,-1202.0,94.0,408.0,-1263.0,375.0
143.0,-333.0,63.0,-92.0,-1146.0,73.0,494.0,-1272.0,386.0
157.0,-334.0,67.0,-71.0,-1079.0,41.0,568.0,-1270.0,369.0
169.0,-328.0,58.0,-72.0,-985.0,-12.0,619.0,-1261.0,349.0
183.0,-324.0,60.0,-93.0,-899.0,-69.0,666.0,-1237.0,353.0
184.0,-317.0,53.0,-97.0,-804.0,-125.0,670.0,-1211.0,360.0
177.0,-308.0,76.0,-71.0,-698.0,-185.0,659.0,-1188.0,409.0
177.0,-313.0,94.0,-22.0,-599.0,-232.0,597.0,-1174.0,466.0
142.0,-315.0,88.0,33.0,-528.0,-269.0,529.0,-1203.0,493.0
121.0,-352.0,88.0,48.0,-496.0,-281.0,461.0,-1353.0,475.0
113.0,-399.0,66.0,-12.0,-520.0,-300.0,429.0,-1525.0,387.0
105.0,-401.0,-14.0,-172.0,-599.0,-352.0,384.0,-1606.0,133.0
76.0,-398.0,-99.0,-471.0,-688.0,-423.0,261.0,-1583.0,-251.0
52.0,-401.0,-186.0,-815.0,-689.0,-463.0,155.0,-1571.0,-644.0
