acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z
13.0,-255.0,-55.0,-130.0,105.0,-5.0,26.0,-991.0,-139.0
14.0,-259.0,-54.0,-122.0,106.0,-5.0,20.0,-994.0,-141.0
12.0,-255.0,-54.0,-116.0,106.0,-7.0,18.0,-993.0,-147.0
8.0,-256.0,-55.0,-108.0,108.0,-6.0,19.0,-979.0,-144.0
9.0,-255.0,-56.0,-104.0,113.0,-8.0,15.0,-987.0,-142.0
12.0,-253.0,-56.0,-98.0,119.0,-6.0,15.0,-979.0,-146.0
11.0,-253.0,-54.0,-96.0,123.0,-8.0,19.0,-974.0,-147.0
11.0,-254.0,-55.0,-93.0,130.0,-7.0,20.0,-974.0,-145.0
8.0,-253.0,-54.0,-94.0,137.0,-8.0,15.0,-969.0,-143.0
12.0,-251.0,-52.0,-96.0,142.0,-5.0,14.0,-971.0,-145.0
9.0,-251.0,-55.0,-98.0,148.0,-6.0,10.0,-976.0,-145.0
8.0,-252.0,-56.0,-102.0,151.0,-3.0,13.0,-968.0,-144.0
13.0,-255.0,-54.0,-105.0,154.0,-3.0,10.0,-971.0,-145.0
8.0,-252.0,-59.0,-110.0,156.0,0.0,11.0,-972.0,-144.0
9.0,-255.0,-56.0,-112.0,156.0,-1.0,11.0,-971.0,-148.0
9.0,-255.0,-56.0,-115.0,155.0,2.0,9.0,-973.0,-151.0
9.0,-255.0,-53.0,-116.0,153.0,0.0,5.0,-977.0,-146.0
10.0,-255.0,-57.0,-115.0,150.0,2.0,4.0,-985.0,-150.0
6.0,-253.0,-57.0,-111.0,140.0,1.0,5.0,-979.0,-150.0
10.0,-256.0,-54.0,-97.0,132.0,3.0,0.0,-990.0,-144.0
5.0,-255.0,-57.0,-84.0,120.0,0.0,3.0,-984.0,-143.0
4.0,-256.0,-54.0,-70.0,106.0,2.0,-1.0,-992.0,-143.0
3.0,-256.0,-53.0,-53.0,94.0,-1.0,-3.0,-976.0,-146.0
3.0,-256.0,-58.0,-36.0,80.0,-1.0,-7.0,-980.0,-150.0
6.0,-255.0,-52.0,-20.0,68.0,-4.0,-9.0,-975.0,-146.0
2.0,-253.0,-54.0,-8.0,59.0,-3.0,-8.0,-973.0,-144.0
2.0,-252.0,-57.0,2.0,50.0,-6.0,-12.0,-972.0,-145.0
3.0,-253.0,-55.0,11.0,43.0,-5.0,-14.0,-969.0,-145.0
3.0,-253.0,-55.0,14.0,37.0,-9.0,-10.0,-966.0,-152.0
2.0,-249.0,-55.0,15.0,34.0,-7.0,-4.0,-966.0,-150.0
6.0,-249.0,-56.0,14.0,34.0,-10.0,-5.0,-960.0,-150.0
5.0,-251.0,-56.0,6.0,33.0,-10.0,-7.0,-966.0,-152.0
6.0,-252.0,-56.0,-1.0,36.0,-13.0,0.0,-967.0,-151.0
7.0,-251.0,-59.0,-14.0,39.0,-13.0,-4.0,-965.0,-152.0
9.0,-254.0,-57.0,-28.0,46.0,-16.0,-2.0,-968.0,-155.0
5.0,-249.0,-56.0,-42.0,53.0,-17.0,0.0,-968.0,-154.0
8.0,-251.0,-57.0,-53.0,58.0,-21.0,3.0,-964.0,-153.0
6.0,-250.0,-56.0,-62.0,61.0,-20.0,10.0,-968.0,-149.0
7.0,-249.0,-57.0,-66.0,66.0,-18.0,4.0,-967.0,-150.0
9.0,-252.0,-53.0,-65.0,68.0,-15.0,8.0,-971.0,-148.0
8.0,-250.0,-56.0,-61.0,73.0,-16.0,10.0,-971.0,-152.0
7.0,-254.0,-54.0,-56.0,74.0,-12.0,9.0,-972.0,-156.0
12.0,-251.0,-56.0,-50.0,76.0,-16.0,12.0,-967.0,-153.0
8.0,-251.0,-58.0,-41.0,74.0,-16.0,8.0,-971.0,-148.0
6.0,-252.0,-53.0,-31.0,70.0,-18.0,11.0,-969.0,-147.0
9.0,-251.0,-52.0,-21.0,67.0,-16.0,9.0,-968.0,-151.0
9.0,-251.0,-56.0,-12.0,62.0,-18.0,11.0,-970.0,-155.0
8.0,-250.0,-57.0,-6.0,59.0,-18.0,9.0,-964.0,-158.0
8.0,-248.0,-61.0,-3.0,55.0,-19.0,9.0,-967.0,-156.0
12.0,-249.0,-56.0,-4.0,53.0,-18.0,9.0,-964.0,-158.0
8.0,-249.0,-58.0,-9.0,50.0,-21.0,11.0,-966.0,-154.0
11.0,-246.0,-58.0,-15.0,49.0,-20.0,18.0,-966.0,-162.0
11.0,-248.0,-56.0,-23.0,49.0,-22.0,16.0,-970.0,-156.0
8.0,-252.0,-57.0,-31.0,50.0,-19.0,11.0,-966.0,-156.0
10.0,-250.0,-55.0,-37.0,50.0,-22.0,15.0,-971.0,-151.0
10.0,-252.0,-58.0,-43.0,52.0,-19.0,18.0,-968.0,-153.0
13.0,-248.0,-57.0,-48.0,57.0,-20.0,19.0,-968.0,-159.0
11.0,-254.0,-58.0,-53.0,59.0,-16.0,19.0,-968.0,-156.0
12.0,-252.0,-57.0,-55.0,62.0,-17.0,20.0,-969.0,-156.0
12.0,-252.0,-56.0,-56.0,66.0,-14.0,17.0,-971.0,-155.0
12.0,-255.0,-56.0,-56.0,69.0,-15.0,19.0,-972.0,-156.0
11.0,-254.0,-57.0,-54.0,69.0,-10.0,17.0,-977.0,-153.0
11.0,-251.0,-56.0,-50.0,71.0,-10.0,16.0,-972.0,-148.0
