acc1_x,acc1_y,acc1_z,gyro_x,gyro_y,gyro_z,acc2_x,acc2_y,acc2_z
12.0,-249.0,-11.0,57.0,11.0,-18.0,30.0,-1019.0,-44.0
13.0,-248.0,-9.0,52.0,13.0,-18.0,24.0,-1019.0,-43.0
12.0,-247.0,-10.0,49.0,13.0,-18.0,26.0,-1016.0,-48.0
12.0,-248.0,-12.0,46.0,14.0,-19.0,29.0,-1016.0,-51.0
12.0,-251.0,-17.0,44.0,16.0,-20.0,29.0,-1017.0,-44.0
13.0,-249.0,-14.0,43.0,16.0,-22.0,25.0,-1019.0,-45.0
13.0,-250.0,-15.0,43.0,19.0,-22.0,28.0,-1019.0,-40.0
10.0,-250.0,-13.0,44.0,19.0,-23.0,27.0,-1028.0,-45.0
10.0,-249.0,-12.0,46.0,20.0,-21.0,33.0,-1019.0,-40.0
13.0,-251.0,-12.0,50.0,20.0,-22.0,27.0,-1020.0,-45.0
11.0,-245.0,-14.0,54.0,21.0,-23.0,30.0,-1012.0,-48.0
11.0,-247.0,-16.0,57.0,20.0,-23.0,29.0,-1015.0,-52.0
10.0,-246.0,-14.0,60.0,18.0,-19.0,28.0,-1018.0,-54.0
11.0,-246.0,-16.0,60.0,17.0,-20.0,31.0,-1015.0,-48.0
13.0,-245.0,-13.0,61.0,17.0,-19.0,31.0,-1015.0,-48.0
24.0,-243.0,-17.0,60.0,16.0,-18.0,31.0,-1009.0,-47.0
17.0,-251.0,-7.0,57.0,14.0,-18.0,30.0,-1018.0,-49.0
13.0,-247.0,-16.0,56.0,12.0,-16.0,27.0,-1009.0,-49.0
12.0,-244.0,-13.0,51.0,11.0,-15.0,33.0,-1011.0,-53.0
14.0,-245.0,-13.0,49.0,10.0,-16.0,29.0,-1009.0,-46.0
13.0,-248.0,-16.0,44.0,11.0,-14.0,30.0,-1008.0,-47.0
16.0,-245.0,-12.0,39.0,11.0,-12.0,30.0,-1005.0,-54.0
12.0,-246.0,-12.0,36.0,9.0,-11.0,29.0,-1003.0,-50.0
16.0,-245.0,-17.0,30.0,8.0,-12.0,31.0,-1010.0,-50.0
